FIPS,State,County,MedHHInc2015,PerCapitaInc,PovertyUnder18Pct2015,PovertyAllAgesPct2015,Deep_Pov_All,Deep_Pov_Children,PovertyUnder18Num2015,PovertyAllAgesNum2015
00000,US,United States,55775,28930,20.7,14.7,6.845125333,9.67522166,15000273,46153077
01000,AL,Alabama,44833,24091,26.5,18.5,8.173129271,12.81580964,288450,875853
01001,AL,Autauga,56580,24974,18.8,12.7,4.787107842,7.617956612,2544,6966
01003,AL,Baldwin,52387,27317,19.6,12.9,5.705076551,8.095359216,8629,25941
01005,AL,Barbour,31433,16824,45.2,32,14.62703963,31.48018239,2510,7380
01007,AL,Bibb,40767,18431,29.3,22.2,5.759137093,8.53508412,1339,4516
01009,AL,Blount,50487,20532,22.2,14.7,6.653712845,12.31563422,2935,8399
01011,AL,Bullock,28251,17580,51.2,39.6,15.1416122,33.43820225,1116,3544
01013,AL,Butler,33868,18390,36,25.8,8.245780013,16.09683585,1685,5100
01015,AL,Calhoun,42091,21374,30.7,20,7.968169574,13.90832613,7687,22579
01017,AL,Chambers,35560,21071,34.4,22.4,9.721851159,20.4604632,2452,7532
01019,AL,Cherokee,39144,21811,30.2,19.4,5.818181818,9.683568433,1558,4961
01021,AL,Chilton,42767,21399,28.1,20.2,8.439998152,13.63242515,2950,8787
01023,AL,Choctaw,35089,20755,33.5,24.4,7.567035298,12.7085552,891,3177
01025,AL,Clarke,37317,20064,30.9,22.2,13.57614553,14.94415884,1671,5403
01027,AL,Clay,38908,18905,27.3,18.4,7.292533475,11.38850889,781,2436
01029,AL,Cleburne,42136,20151,27.7,18.9,6.435677066,10.55099648,941,2797
01031,AL,Coffee,46858,24936,23.7,16.2,6.133540373,10.29301901,2842,8196
01033,AL,Colbert,41171,22546,26.9,18.1,7.641448282,11.77118644,3102,9732
01035,AL,Conecuh,29981,15968,41,28.3,13.72273047,24.06815761,1105,3560
01037,AL,Coosa,36078,17519,32.2,20.3,8.288372093,15.20782396,611,2118
